OBJECTID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area
728,402190,NORMAN,52,OK,40,927206,0,431097,0,1358303,2021,1.19360853383998,0.0485774539198863
729,402268,OKLAHOMA CITY,51,OK,40,5042780,427463,2329575,1003886,8803704,2021,4.64857855382228,0.159535042573659
730,402718,SHAWNEE,52,OK,40,333278,0,0,0,333278,2021,1.97731908416331,0.011929706780343
731,403036,TULSA,51,OK,40,3553472,302126,1787319,666550,6309467,2021,3.52576532878585,0.0521102660890693
732,409143,TULSA COUNTY,61,OK,40,1463125,0,1129626,0,2592751,2021,13.4701894295576,0.129895025964119
733,409999,OK NONENTITLEMENT,21,OK,40,14981027,1693620,8654876,462744,25792267,2021,49.3687436040824,17.5289587751422
734,410012,ALBANY,51,OR,41,370491,0,0,0,370491,2021,0.853517647842847,0.00521260302785266
735,364448,NIAGARA FALLS,51,NY,36,2405587,203492,448718,0,3057797,2021,0.452063265525922,0.00404527769992572
736,365312,POUGHKEEPSIE,52,NY,36,847282,0,0,0,847282,2021,0.225023716889553,0.00160189244643931
737,365544,ROCHESTER,51,NY,36,8262859,707618,2478281,1002981,12451739,2021,1.16109826013113,0.0105439792722492
738,365572,ROME,51,NY,36,1016702,0,0,0,1016702,2021,0.975293811509254,0.0217416610795824
739,365848,SCHENECTADY,51,NY,36,2244683,197895,1057515,0,3500093,2021,0.301033218805997,0.00312502458782344
740,372508,SALISBURY,52,NC,37,285158,0,0,0,285158,2021,1.09725717430066,0.00570558299849806
741,373144,WILMINGTON,51,NC,37,1055662,0,693501,0,1749163,2021,1.14881654100797,0.0132038013529711
742,391500,EAST CLEVELAND,52,OH,39,1106987,0,251861,0,1358848,2021,0.147349326107371,0.000864332578456151
743,391602,ELYRIA,51,OH,39,755617,0,0,0,755617,2021,0.958168471642984,0.00581094346681554
744,428136,YORK,51,PA,42,1505285,0,546486,0,2051771,2021,0.290591347289614,0.0014583005744181
745,429007,BEAVER COUNTY,61,PA,42,3357132,287886,577171,0,4222189,2021,1.45290906923823,0.122417915830514
746,429011,BERKS COUNTY,61,PA,42,2344761,204151,633708,0,3182620,2021,2.62512113811868,0.235089772549291
747,429029,CHESTER COUNTY,61,PA,42,2593104,220571,1099485,0,3913160,2021,2.66268475919491,0.207310732747641
